,_id,Datetime,Tweet Id,Text,Username
170,6402fef06eb880dac6b5bc3d,1675382305000,1621297013907230720,@Lionelclone1 @Michaeldoge420 @CCuntamed @misswyoming307 @DraganaMusk @TeslaDarth @tearsintherain1 @SpadersNFTs @Stacyloveskatz @boozelee86 @dogecoin @elonmusk @DogeAccept @S3XYDOG3VAD3R @EarTooEar @PryZmRuleZZ @PiaPanda96 @Optimasubprima @dogeofficialceo @TheDogeBird @UpdateRail @safferpsyche @devine1jojo @MarshaW15161057 @RinesBrandi @elgatosenfuego @imPenny2x @RandallFreebyrd @ExplainThisBob ❤,MarilouBaril
171,6402fef06eb880dac6b5bc3e,1675382304000,1621297010614697984,@elonmusk @elonmusk looks like @Magneto for his profile picture. He's taking over the 🌎 lol I'm looking for a better job.,Alabamacotton
172,6402fef06eb880dac6b5bc3f,1675382302000,1621297001546805248,elon musk fuckimg ruining every fun in this app and made it into some kind of capitalism shit ever since he took over it https://t.co/zV5RTVPczT,louvremaiden
173,6402fef06eb880dac6b5bc40,1675382301000,1621297000984494080,@elonmusk @BillyM2k @ericnakagawa https://t.co/EuxLqJ2P28,SeanCarrol3
174,6402fef06eb880dac6b5bc41,1675382300000,1621296996215660545,@elonmusk @TitterTakeover @Twitter That's pretty cool if you stop to think about the long term implications.,chuckstrap11
175,6402fef06eb880dac6b5bc42,1675382300000,1621296995670319105,@DavelnOz @DrLoupis @ellagirwin @TwitterSupport @elonmusk She does seem to have a history of hiding the truth,BoredGayBrennan
176,6402fef06eb880dac6b5bc43,1675382299000,1621296990922358787,@Project_Veritas @elonmusk Still seeing it here.,Bcote06333747
177,6402fef06eb880dac6b5bc44,1675382299000,1621296990460993537,@Project_Veritas @elonmusk @elonmusk How deep is the corruption at @Twitter - this is not doing your company’s  trust levels any favours,LJMcBay
178,6402fef06eb880dac6b5bc45,1675382297000,1621296983431331840,fuck you elon musk,ivysloverbff
179,6402fef06eb880dac6b5bc46,1675382296000,1621296979090317312,@elonmusk how come the president of tweeter france cuts off some account when we but messages on macron and this shitty politics are these normal could you leave people their freedom to say what he thinks could do something to you of this dictatorship,garattain40
180,6402fef06eb880dac6b5bc47,1675382296000,1621296978779951106,@_TheGreatOneHD @ClayTravis @elonmusk Yet you guys destroyed families and kept people from attending love ones funerals cause your such petty douchbags you can't admit when your wrong,Optimusdad08
181,6402fef06eb880dac6b5bc48,1675382296000,1621296977207263232,"How did the cookers get so much clout that governments have to counter their claims?

South Australian council forced to dispel ‘bizarre’ claims of Elon Musk using mind-control chips | South Australia | The Guardian https://t.co/HlUJHDD32k",ranterulze
182,6402fef06eb880dac6b5bc49,1675382295000,1621296973856010240,@AlexTheMule1999 @DrAnitaBEtin @elonmusk That's no doctor.,MontanaCowboy15
183,6402fef06eb880dac6b5bc4a,1675382295000,1621296973352411139,@elonmusk @TrungTPhan Ha ha. Nice word choice,MurphyCleaner
184,6402fef06eb880dac6b5bc4b,1675382295000,1621296973285400577,@elonmusk @TitterTakeover @Twitter Hang in there. keep it up with head held high.,RoxrollaZ
185,6402fef06eb880dac6b5bc4c,1675382294000,1621296968445341696,@elonmusk https://t.co/olQgIQ9g9p,Aksya2119
186,6402fef06eb880dac6b5bc4d,1675382293000,1621296966763425792,@chicago_glenn @elonmusk @TheUnderDoge3 @mayemusk @occupymars42069 @MyDogeCTO @biogirl09 @GloryDoge @dogesuppporteam @TeslaClubWI @dezmondOliver @SirineAti 🤩😎,Pinky1925092011
187,6402fef06eb880dac6b5bc4e,1675382293000,1621296965970546688,@elonmusk https://t.co/qmfS4iFZ5c,LAFRANCEPARTY
188,6402fef06eb880dac6b5bc4f,1675382293000,1621296965647482880,@elonmusk @TitterTakeover @Twitter https://t.co/9KsIJYrqmi,CatherinScience
189,6402fef06eb880dac6b5bc50,1675382292000,1621296963139272704,@Project_Veritas @elonmusk Not yet trending in the UK,thamimboss
190,6402fef06eb880dac6b5bc51,1675382292000,1621296962317303808,"@elonmusk @nichegamer Yeah, you have made Twitter worse than it was before you came along.",bface9
191,6402fef06eb880dac6b5bc52,1675382292000,1621296961621217282,@elonmusk end world hunger you coward,poosbutt
192,6402fef06eb880dac6b5bc53,1675382291000,1621296958777204739,@elonmusk @TitterTakeover @Twitter Wonderful news !,joseloanto
193,6402fef06eb880dac6b5bc54,1675382291000,1621296958320119808,@_TheGreatOneHD @ClayTravis @elonmusk No he doesn’t,JDP775
194,6402fef06eb880dac6b5bc55,1675382291000,1621296956768243714,"@elonmusk @TitterTakeover @Twitter ""Trust in Twitter has declined among Democrats after Musk took over, but gone up among Republicans. The two sides are now at the same level.""",LoyalCanadian4u
195,6402fef06eb880dac6b5bc56,1675382291000,1621296956172533760,"@Project_Veritas @elonmusk I already thought the first video was watched way too little. 

@elonmusk, it looks like you missed a spot when cleaning ship.",JustATechGuy_
196,6402fef06eb880dac6b5bc57,1675382290000,1621296954818064384,@Tyler0309 @JoeyMauro1 @Forreststargaze @elonmusk not needed. cars can brake substantially faster than trains and platforms aren't elevated.,forstall_
197,6402fef06eb880dac6b5bc58,1675382290000,1621296954797072384,@ThatsAHoot31 @leftymagnet @DavidSacks @alx @elonmusk What are you talking about? I said he was working with kilimnik the Russian spy. Which manafort admitted. Which gates admitted. Are you confused?,seunghong
198,6402fef06eb880dac6b5bc59,1675382290000,1621296952414507009,@fasc1nate @elonmusk I couldn’t stop thinking about this and the way it could be used for Falcon 9 or any of the others. There’s gotta be a way to use this for the ships or for the Cars. I can’t stop thinking about it and how it could be implemented. Interesting tho,MatthewDeCoy
199,6402fef06eb880dac6b5bc5a,1675382289000,1621296948425678848,"@BillyM2k @elonmusk @ericnakagawa Oh, please https://t.co/om0PwSYm2k",NYNightTrain
